date,World GDP,Year,Totals,% of GDP
1984-12-31,1.39205E+12,1984,37706647293,0.027087078
1985-12-31,1.39205E+12,1985,37665035197,0.027057186
1986-12-31,1.39205E+12,1986,35348075575,0.025392766
1987-12-31,1.39205E+12,1987,30618322055,0.021995084
1988-12-31,1.39205E+12,1988,26523969177,0.019053851
1989-12-31,1.39205E+12,1989,24649990786,0.017707653
1990-12-31,1.39205E+12,1990,23303762710,0.016740572
1991-12-31,1.39205E+12,1991,26664291722,0.019154653
1992-12-31,1.39205E+12,1992,27771636514,0.019950129
1993-12-31,1.39205E+12,1993,29139537930,0.02093278
1994-12-31,1.39205E+12,1994,30211445450,0.021702799
1995-12-31,1.39205E+12,1995,41586611940,0.029874303
1996-12-31,1.39205E+12,1996,42009082557,0.030177791
1997-12-31,1.39205E+12,1997,52568901205,0.037763579
1998-12-31,1.39205E+12,1998,66739842976,0.047943466
1999-12-31,1.39205E+12,1999,57496136237,0.041303124
2000-12-31,1.39205E+12,2000,49322126517,0.035431214
2001-12-31,1.39205E+12,2001,59901804093,0.043031268
2002-12-31,1.39205E+12,2002,70469729806,0.05062288
2003-12-31,1.39205E+12,2003,71912955980,0.051659641
2004-12-31,1.39205E+12,2004,62139796027,0.04463896
2005-12-31,1.39205E+12,2005,34714264905,0.02493746
2006-12-31,1.39205E+12,2006,13666660759,0.00981763
2007-12-31,1.39205E+12,2007,9833092338,0.007063734
2008-12-31,1.39205E+12,2008,21487336753,0.015435718
2009-12-31,1.39205E+12,2009,42300847722,0.030387384
2010-12-31,1.39205E+12,2010,60439448644,0.043417492
2011-12-31,1.39205E+12,2011,92585525384,0.06651006
2012-12-31,1.39205E+12,2012,95808640755,0.068825428
2013-12-31,1.39205E+12,2013,90073641743,0.064705615
2014-12-31,1.39205E+12,2014,75334319046,0.054117423
2015-12-31,1.39205E+12,2015,57333751899,0.041186473
2016-12-31,1.39205E+12,2016,55750278788,0.040048964
2017-12-31,1.39205E+12,2017,46107666542,0.033122064
2018-12-31,1.39205E+12,2018,61821792421,0.044410518
2019-12-31,1.39205E+12,2019,73536345315,0.052825825
2020-12-31,1.39205E+12,2020,1.0589E+11,0.07606783
2021-12-31,1.39205E+12,2021,1.04029E+11,0.074730904
